Time,CAPTIL,CENTRL,DUNWOD,GENESE,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,WEST
2018-01-01 00:00:00+00:00,1899.025,2420.4916666666663,857.3249999999999,1424.5500000000002,1526.9583333333333,3190.925,1272.7333333333331,497.90833333333336,7020.833333333333,704.7750000000001,2145.25
2018-01-01 01:00:00+00:00,1841.7833333333333,2352.991666666667,828.8583333333332,1387.975,1487.0416666666667,3075.158333333333,1235.75,476.5583333333333,6883.3,699.3166666666667,2115.575
2018-01-01 02:00:00+00:00,1785.5333333333335,2277.2666666666664,799.7499999999999,1330.725,1432.85,2960.0916666666667,1201.0583333333334,457.7833333333333,6699.383333333334,681.025,2061.625
2018-01-01 03:00:00+00:00,1723.9083333333335,2218.458333333333,759.0999999999999,1287.825,1394.4166666666667,2852.283333333334,1155.0416666666667,441.7833333333333,6495.541666666667,675.025,2002.033333333333
2018-01-01 04:00:00+00:00,1659.4250000000002,2154.116666666667,732.6416666666668,1219.8666666666666,1338.9583333333333,2733.516666666667,1117.1666666666667,422.3083333333334,6285.533333333333,669.4583333333334,1927.8833333333328
2018-01-01 05:00:00+00:00,1611.5749999999998,2078.058333333333,697.6583333333333,1160.7583333333332,1296.5583333333332,2610.6666666666665,1082.9666666666665,401.2166666666666,6100.091666666667,662.1666666666666,1851.108333333333
2018-01-01 06:00:00+00:00,1571.6,2021.6666666666667,672.1916666666667,1122.9416666666666,1228.1916666666668,2499.016666666667,1044.4416666666666,396.7000000000001,5927.383333333332,663.0583333333334,1795.0416666666667
2018-01-01 07:00:00+00:00,1540.8083333333332,1989.283333333333,644.25,1095.8083333333336,1200.7166666666667,2394.441666666666,1030.4416666666668,391.1083333333334,5759.916666666667,655.7333333333335,1766.775
2018-01-01 08:00:00+00:00,1531.8083333333332,1956.608333333333,623.5666666666666,1074.15,1187.8166666666668,2331.3250000000003,1016.2166666666666,379.8166666666666,5640.666666666667,658.2666666666668,1763.6333333333332
2018-01-01 09:00:00+00:00,1530.3333333333337,1926.075,612.6750000000001,1072.3833333333332,1190.5750000000005,2308.7916666666665,1019.3333333333334,378.4333333333333,5571.491666666668,659.0,1740.4499999999998
2018-01-01 10:00:00+00:00,1530.5083333333332,1959.391666666667,625.1416666666667,1089.3583333333331,1199.05,2321.55,1037.9333333333334,384.9333333333334,5592.458333333333,661.8000000000001,1756.1166666666666
2018-01-01 11:00:00+00:00,1567.1333333333332,2021.641666666667,634.6083333333333,1126.9416666666668,1219.6416666666669,2366.225,1070.95,400.5583333333333,5702.358333333334,673.225,1804.2583333333328
2018-01-01 12:00:00+00:00,1610.283333333333,2078.233333333333,648.45,1162.4666666666665,1242.8666666666666,2385.441666666667,1106.3916666666669,404.4500000000001,5797.966666666667,680.4499999999999,1856.7166666666665
2018-01-01 13:00:00+00:00,1665.0083333333332,2128.3583333333336,657.4999999999999,1179.8416666666667,1278.025,2441.35,1155.6166666666668,421.40833333333336,5946.316666666667,690.4000000000001,1872.3166666666664
2018-01-01 14:00:00+00:00,1727.3083333333334,2192.4083333333333,677.3,1217.1,1323.15,2527.4416666666666,1193.1583333333333,424.75,6127.091666666667,692.8583333333332,1922.0916666666665
2018-01-01 15:00:00+00:00,1763.8333333333333,2233.4,708.2416666666667,1245.4499999999998,1355.9666666666665,2617.775,1220.425,435.73333333333335,6277.649999999999,665.3916666666667,1959.7916666666663
2018-01-01 16:00:00+00:00,1776.3333333333333,2222.508333333333,720.5833333333334,1263.9416666666664,1366.8583333333331,2666.9083333333333,1223.85,434.98333333333335,6444.566666666666,656.1750000000001,1956.3166666666664
2018-01-01 17:00:00+00:00,1780.1666666666667,2190.375,738.5749999999999,1274.6083333333331,1373.6083333333336,2686.4166666666665,1212.6249999999998,433.6666666666667,6520.608333333333,655.8,1967.141666666667
