Issue_time,Forecast_time,CAPTIL,CENTRL,DUNWOD,GENESE,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,WEST
2019-10-27 18:00:00+00:00,2019-10-28 18:00:00+00:00,1379.706787109375,1837.0015869140625,709.0824584960938,1157.1842041015625,1131.664306640625,2450.079833984375,900.2230834960938,320.418701171875,6047.4814453125,566.962646484375,1779.599609375
2019-10-27 18:00:00+00:00,2019-10-28 19:00:00+00:00,1290.617431640625,1777.489013671875,660.7935180664062,1100.8355712890625,1056.3228759765625,2236.230224609375,828.66064453125,300.0646667480469,5659.98828125,545.21240234375,1726.162109375
2019-10-27 18:00:00+00:00,2019-10-28 20:00:00+00:00,1327.5247802734375,1768.4708251953125,682.99560546875,1110.7149658203125,1088.35205078125,2341.084228515625,859.8827514648438,307.02093505859375,5839.1484375,559.476806640625,1736.3092041015625
2019-10-27 18:00:00+00:00,2019-10-28 21:00:00+00:00,1226.5634765625,1699.447998046875,625.694091796875,1045.8280029296875,999.1422729492188,2111.98974609375,778.48095703125,280.0585021972656,5409.5126953125,533.9292602539062,1667.055908203125
2019-10-27 18:00:00+00:00,2019-10-28 22:00:00+00:00,1257.94677734375,1674.5601806640625,641.7115478515625,1043.6776123046875,1029.962890625,2197.605712890625,802.018310546875,285.58905029296875,5543.40234375,547.681640625,1667.21240234375
2019-10-27 18:00:00+00:00,2019-10-28 23:00:00+00:00,1156.363037109375,1606.62548828125,585.630615234375,985.656005859375,932.4802856445312,1963.01806640625,722.6195068359375,256.3624267578125,5118.556640625,521.817626953125,1601.626953125
2019-10-27 18:00:00+00:00,2019-10-29 00:00:00+00:00,1180.330078125,1576.2286376953125,595.846435546875,978.2965087890625,959.568359375,2031.1180419921875,741.8800048828125,260.3915710449219,5218.24169921875,534.1895141601562,1590.605712890625
2019-10-27 18:00:00+00:00,2019-10-29 01:00:00+00:00,1091.6024169921875,1526.2061767578125,547.4589233398438,931.1041870117188,874.6878051757812,1824.7340087890625,672.3176879882812,234.05221557617188,4842.80029296875,512.1759033203125,1539.5859375
2019-10-27 18:00:00+00:00,2019-10-29 02:00:00+00:00,1109.0963134765625,1490.67431640625,549.7833862304688,916.51806640625,893.5416870117188,1874.6746826171875,683.2570190429688,238.2012939453125,4880.513671875,521.1901245117188,1520.402587890625
2019-10-27 18:00:00+00:00,2019-10-29 03:00:00+00:00,1049.87109375,1466.91650390625,516.6319580078125,891.1522216796875,828.2134399414062,1723.2139892578125,636.123291015625,216.0467529296875,4600.9521484375,505.1514892578125,1490.3333740234375
2019-10-27 18:00:00+00:00,2019-10-29 04:00:00+00:00,1062.5235595703125,1430.13037109375,512.6234130859375,874.5821533203125,840.388671875,1760.127685546875,642.853515625,218.34898376464844,4595.78662109375,511.3363037109375,1468.07373046875
2019-10-28 18:00:00+00:00,2019-10-29 05:00:00+00:00,1306.31591796875,1828.1182861328125,706.44384765625,1156.6630859375,1058.8154296875,2212.916259765625,869.1513061523438,299.1058654785156,6480.2236328125,537.557861328125,1802.983642578125
2019-10-28 18:00:00+00:00,2019-10-29 06:00:00+00:00,1333.28564453125,1891.3328857421875,718.0084228515625,1202.4283447265625,1085.84228515625,2356.331298828125,898.4492797851562,304.96710205078125,6554.24560546875,557.8819580078125,1871.1026611328125
2019-10-28 18:00:00+00:00,2019-10-29 07:00:00+00:00,1330.9964599609375,1845.7777099609375,713.5216674804688,1164.470458984375,1081.1893310546875,2273.56982421875,878.4324951171875,305.35638427734375,6483.1923828125,538.230712890625,1802.5936279296875
2019-10-28 18:00:00+00:00,2019-10-29 08:00:00+00:00,1349.3883056640625,1898.9066162109375,723.4453735351562,1203.7757568359375,1103.76611328125,2409.564453125,903.3776245117188,310.28326416015625,6532.26953125,557.5150756835938,1870.0694580078125
2019-10-28 18:00:00+00:00,2019-10-29 09:00:00+00:00,1379.0133056640625,1915.6650390625,731.8795166015625,1217.3035888671875,1125.8453369140625,2481.698486328125,916.953857421875,317.898193359375,6539.93896484375,560.6182250976562,1876.30419921875
2019-10-28 18:00:00+00:00,2019-10-29 10:00:00+00:00,1369.366455078125,1871.810791015625,725.224609375,1182.06640625,1111.2744140625,2357.504638671875,898.48046875,315.841796875,6501.15673828125,543.1920166015625,1815.2464599609375
2019-10-28 18:00:00+00:00,2019-10-29 11:00:00+00:00,1409.9588623046875,1935.1273193359375,743.3467407226562,1230.21533203125,1152.05126953125,2545.82080078125,935.05810546875,326.2369079589844,6516.6953125,565.9401245117188,1887.5228271484375
2019-10-28 18:00:00+00:00,2019-10-29 12:00:00+00:00,1409.8077392578125,1906.873046875,739.3668823242188,1199.119140625,1143.4219970703125,2439.238037109375,920.3050537109375,327.01416015625,6510.8232421875,548.28369140625,1833.54833984375
2019-10-28 18:00:00+00:00,2019-10-29 13:00:00+00:00,1436.15771484375,1946.4892578125,748.0629272460938,1235.5870361328125,1175.026123046875,2586.624755859375,946.659423828125,333.83795166015625,6477.57177734375,571.1446533203125,1896.140625
2019-10-28 18:00:00+00:00,2019-10-29 14:00:00+00:00,1437.32177734375,1920.8055419921875,749.3652954101562,1212.2786865234375,1166.5650634765625,2502.0537109375,935.322265625,335.2953796386719,6495.859375,553.2112426757812,1846.507080078125
2019-10-28 18:00:00+00:00,2019-10-29 15:00:00+00:00,1439.4129638671875,1939.668701171875,747.1884765625,1227.5054931640625,1178.823974609375,2588.74853515625,946.0407104492188,334.93963623046875,6374.03515625,573.5411376953125,1888.2088623046875
2019-10-28 18:00:00+00:00,2019-10-29 16:00:00+00:00,1439.5413818359375,1914.035400390625,747.7890014648438,1205.5670166015625,1170.0030517578125,2513.25,934.507568359375,336.4184265136719,6408.43310546875,554.4622802734375,1847.75439453125
2019-10-28 18:00:00+00:00,2019-10-29 17:00:00+00:00,1412.788818359375,1893.7115478515625,731.0180053710938,1195.4722900390625,1158.1927490234375,2539.383544921875,927.6918334960938,329.6553649902344,6216.68115234375,570.945556640625,1858.6065673828125
